NA ZA
HG TL
AG JA
CO DG
PU TL
AG SL
BC BS
BC SO
CH SO
SI SO
CH DG
CH CO
DG SI
NA SI
DG ZA
DG ZA
NL TM
NL SL
JA ZA
JA NA
JA MI
CL JA
CL MI
GR MI
SL ZA
SL TM
SL VE
TM VE
PU VE
GR OA
QR YU
CM YU
CM QR
GR MO
CS OA
CS TB
CS VE
TB VE
OA VE
OA PU
HG VE
GT MI
ME MI
GT QT
GT SL
GT JA
MI QT
CO NL
AG ZA
HG ME
GR PU
CX ME
CX MO
CM TB
HG QT
