AG,944285
BC,2487367
BS,424041
CM,690689
CO,2298070
CL,542627
CS,3920892
CH,3052907
CX,8605239
DG,1448661
GT,4663032
GR,3079649
HG,2235591
JC,6322002
EM,13096686
MI,3985667
MO,1555296
NA,920185
NL,3834141
OA,3438765
PU,5076686
QT,1404306
QR,874963
SL,2299360
SI,2536844
SO,2216969
TB,1891829
TM,2753222
TL,962646
VE,6908975
YU,1658210
ZA,1353610
